,freq,fake,reliable,idf_weight,fakeness_score
that,"(3096, 32592)","(21.3495622276299, 31984.00838068131)","(24.580144557823125, 44054.71470403966)",0.4789717226520857,0.1864908418218556
for,"(3219, 23131)","(22.317663297381582, 22981.56253580446)","(23.384353741496597, 25948.4056413609)",0.44002549745938685,0.06445883560875143
are,"(3496, 19052)","(24.37121102109727, 19157.97137160422)","(22.985756802721085, 17054.078382501157)",0.35750385882234115,-0.061604875552154326
on,"(3285, 18826)","(22.787045634230882, 18786.247967318162)","(23.650085034013603, 19575.461333115414)",0.4197364611457362,0.021001993509462746
it,"(2758, 16287)","(19.03932103844975, 16331.609850063754)","(21.52423469387755, 15445.95224864482)",0.5945333728394759,-0.028661717102485107
as,"(2781, 16208)","(19.178668919701884, 16224.199687918774)","(22.055697278911563, 15902.58065702378)",0.5862318742158201,-0.010111820081313727
thi,"(3231, 15284)","(22.508349871726608, 15519.715389144343)","(21.52423469387755, 10839.96134673531)",0.4363058316598423,-0.21256536517870483
with,"(2841, 15272)","(19.5453738703654, 15170.105841770484)","(23.384353741496597, 17193.05224592084)",0.564894696889833,0.06657679259260352
by,"(2905, 12710)","(20.16877228649338, 12836.567417130516)","(20.594175170068027, 10323.772711176487)",0.5426259363157886,-0.12110215764032128
you,"(2011, 12205)","(14.02279731337285, 12264.766259829295)","(13.153698979591836, 11078.202255454768)",0.9102589596424362,-0.053502856764690465
have,"(2638, 11993)","(18.18123145389712, 11960.437467085185)","(21.12563775510204, 12606.914753071287)",0.638999962489499,0.027019076061738367
wa,"(2197, 11984)","(14.998232482137803, 11844.60297849746)","(20.195578231292515, 14612.10906812672)",0.8218445615822095,0.11629701465386022
from,"(2701, 11185)","(18.67261608778623, 11181.187271131404)","(20.594175170068027, 11256.882936994361)",0.6154086639584306,0.0033849436076653916
not,"(2462, 10935)","(16.875761829535005, 10743.122296108739)","(21.391369047619044, 14552.548840946854)",0.7080171932266738,0.1754614242359691
at,"(2737, 10253)","(18.86330266213126, 10193.434995719721)","(21.922831632653057, 11376.00339135409)",0.6021736632252962,0.05794140218738364
will,"(2112, 10132)","(14.52151604627523, 10260.829607261669)","(17.538265306122447, 7703.122715262455)",0.861281848843356,-0.16450891647980237
they,"(2173, 9909)","(14.976230185097991, 9914.37918230384)","(17.405399659863946, 9807.584075617662)",0.832823126632892,-0.005444462705666897
or,"(2281, 9735)","(15.768312878531185, 9851.196733983263)","(17.405399659863946, 7544.295442782817)",0.7843418407448722,-0.15171017776772266
we,"(1959, 8963)","(13.406732996258143, 8705.488337770137)","(17.405399659863946, 13817.972705728527)",0.936442420085008,0.28547766940085806
ha,"(2462, 8772)","(16.934434621641167, 8701.276174548766)","(20.328443877551017, 10105.385211516983)",0.7080171932266738,0.08050945872677606
i,"(1575, 8657)","(10.700450460361395, 8422.220361132884)","(15.412414965986393, 13083.396570510202)",1.1544844712347422,0.2698656975853384
an,"(2499, 8384)","(17.220464483158707, 8376.939606503138)","(20.062712585034014, 8517.112486720602)",0.693107181359924,0.008366397288202654
their,"(2110, 7958)","(14.47017735318234, 7867.2678567171515)","(18.202593537414963, 9668.610212197978)",0.8622287737756245,0.1139858017510087
but,"(2240, 7778)","(15.38693972984113, 7785.130673900402)","(18.86692176870748, 7643.562488082591)",0.8024710956746948,-0.009260350737111511
he,"(1706, 7437)","(11.49986725280786, 7114.343680896945)","(18.335459183673468, 13520.171569829206)",1.0746418880295303,0.42206759884345435
all,"(2125, 7188)","(14.668198026540638, 7235.443373511384)","(16.608205782312922, 6293.530672005666)",0.8551485969319175,-0.07469245048160256
us,"(1882, 7151)","(13.032693946581357, 7191.21565968698)","(13.950892857142856, 6392.79771730544)",0.9765185574246418,-0.062365630856908605
hi,"(1675, 6780)","(11.375187569582264, 6595.194563862873)","(16.47534013605442, 10264.212483996622)",1.0929682462830248,0.27119980965946366
more,"(2299, 6773)","(15.995669947942567, 6872.144295668068)","(15.6781462585034, 4903.792037808831)",0.776485312183279,-0.1980450315037512
trump,"(3418, 6708)","(24.82592515992003, 6917.425050297814)","(4.384566326530612, 2759.623859333715)",0.3800605538864381,-0.6371299090291962
blockchain,"(3221, 6660)","(23.623132921743696, 7013.251763584022)","(0.0, 0.0)",0.4394045915377285,-1.0
your,"(2206, 6483)","(15.775646977544456, 6576.239829366699)","(7.307610544217686, 4725.111356269238)",0.8177584758099091,-0.19341454300265204
who,"(1946, 6478)","(13.164707728820222, 6269.804955011902)","(20.062712585034014, 10403.186347416306)",0.9430968262946621,0.3181846766593932
about,"(2088, 5926)","(14.367499966996554, 5891.7633058937845)","(17.139668367346935, 6571.478398845033)",0.8727045612112339,0.05761960962562518
one,"(2030, 5875)","(13.949456323240147, 5873.861612202954)","(17.006802721088434, 5896.46249080657)",0.9008603942187975,0.0019238494377533666
which,"(1960, 5858)","(13.480073986390847, 5908.611958779272)","(16.209608843537413, 4903.792037808831)",0.9359323721294438,-0.10209638286970224
