id,domain,type,url,scraped_at,title,authors,keywords,tags,summary,content_len,mean_word_len,median_word_len
34,beforeitsnews.com,fake,http://beforeitsnews.com/opinion-conservative/2018/01/surprise-socialist-hotbed-of-venezuela-has-lost-half-its-economy-3357415.html,2018-01-25 16:17:44.789555,Surprise: Socialist Hotbed Of Venezuela Has Lost Half It’s Economy,The Pirate'S Cove,,,,1574,5.410256410256411,4.0
35,beforeitsnews.com,fake,http://beforeitsnews.com/politics/2018/01/water-cooler-12518-open-thread-fake-news-cnn-still-wont-correct-fake-story-feminists-demand-feminist-science-grumpy-cat-goes-to-court-2976227.html,2018-01-25 16:17:44.789555,Water Cooler 1/25/18 Open Thread; Fake News ? CNN Still Won’t Correct Fake Story; Feminists Demand Feminist Science; Grumpy Cat Goes To Court,,,,,6647,5.242690058479532,4.0
36,beforeitsnews.com,fake,http://beforeitsnews.com/politics/2018/01/veteran-commentator-calls-out-the-growing-ethnonationalism-at-fox-news-and-its-so-ugly-2976229.html,2018-01-25 16:17:44.789555,Veteran Commentator Calls Out the Growing “Ethnonationalism” at Fox News (and It’s SO Ugly),,,,,3144,4.9118236472945895,4
37,beforeitsnews.com,fake,http://beforeitsnews.com/arts/2018/01/lost-words-hidden-words-otters-banks-and-books-2507447.html,2018-01-25 16:17:44.789555,"Lost Words, Hidden Words, Otters, Banks and Books",Jackie Morris Artist,,,,3587,4.56514657980456,4.0
38,beforeitsnews.com,fake,http://beforeitsnews.com/financial-markets/2018/01/red-alert-bond-yields-are-screaming-inflation-is-coming-2952244.html,2018-01-25 16:17:44.789555,Red Alert: Bond Yields Are SCREAMING “Inflation is coming!”,Phoenix Capital Research,,,,637,5.617977528089888,4
39,beforeitsnews.com,fake,http://beforeitsnews.com/environment/2018/01/scientists-move-doomsday-clock-ahead-by-30-seconds-closest-to-apocalypse-since-1953-as-of-today-it-is-two-minutes-to-midnight-2587624.html,2018-01-25 16:17:44.789555,"Scientists move Doomsday Clock ahead by 30 seconds, closest to apocalypse since 1953 – “As of today, it is two minutes to midnight”",Desdemona Despair,,,,17970,5.398971344599559,5.0
40,beforeitsnews.com,fake,http://beforeitsnews.com/opinion-conservative/2018/01/why-sandwiches-must-be-banned-3357416.html,2018-01-25 16:17:44.789555,Why Sandwiches Must Be Banned,,,,,1884,5.382978723404255,4.0
41,beforeitsnews.com,fake,http://beforeitsnews.com/politics/2018/01/poll-calls-for-war-from-israelis-and-palestinians-skyrocket-due-to-trumps-jerusalem-deceleration-2976232.html,2018-01-25 16:17:44.789555,Poll: Calls for War From Israelis and Palestinians SKYROCKET Due to Trump’s Jerusalem Deceleration,,,,,2258,5.654320987654321,4.0
52,christianpost.com,reliable,https://www.christianpost.com/news/destiny-2-news-bungie-responds-to-complaints-on-faction-rallys-redundant-rewards-214630/,2018-01-25 16:17:44.789555,'Destiny 2' News: Bungie Addresses Player Complaints Around Faction Rally's Redundant Rewards,,,,,2513,5.0049504950495045,4.0
73,coed.com,fake,https://coed.com/2018/01/22/college-basketball-rankings-week-12-power-standing-projections-top-25/,2018-01-25 16:17:44.789555,"College Basketball Rankings, Week 12: Top 25 Power Rankings","Avid Sports Fan, Writer. Huge Fan Of The Orioles, Ravens, Capitals",,"NCAA, March Madness, Videos, College Basketball Rankings, NCAA Basketball",,12569,5.005402750491159,4.0
